STEP 173	-1.721347E+05	
STEP 174	-1.722882E+05	
STEP 175	-1.724399E+05	
STEP 176	-1.725900E+05	
STEP 177	-1.727383E+05	
STEP 178	-1.728851E+05	
STEP 179	-1.730304E+05	
STEP 180	-1.731742E+05	
STEP 181	-1.733165E+05	
STEP 182	-1.734573E+05	
STEP 183	-1.735968E+05	
STEP 184	-1.737350E+05	
STEP 185	-1.738718E+05	
STEP 186	-1.740073E+05	
STEP 187	-1.741416E+05	
STEP 188	-1.742747E+05	
STEP 189	-1.744067E+05	
STEP 190	-1.745376E+05	
STEP 191	-1.746674E+05	
STEP 192	-1.747962E+05	
STEP 193	-1.749239E+05	
STEP 194	-1.750506E+05	
STEP 195	-1.751763E+05	
STEP 196	-1.753011E+05	
STEP 197	-1.754249E+05	
STEP 198	-1.755478E+05	
STEP 199	-1.756698E+05	
STEP 200	-1.757910E+05	
STEP 201	-1.759113E+05	
